event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King  Arnold,Carolyn King Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52110,9.,30,"An ordinance amending Chapter 17, “Food Establishments,” of the Dallas City Code, by amending Section 17-10.2; to (1) revise the plans review fee for a Class II mobile food unit limited to a mobile kiosk/coffee cart; (2) revise the inspection fee for catering service vehicles and Class II mobile food units limited to a mobile kiosk/coffee cart; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Estimated Revenue Foregone: $14,204.00",22-724,CONSENT AGENDA,Approved as an Individual Item,10568,"An ordinance amending Chapter 17, “Food Establishments,” of the Dallas City Code, by amending Section 17-10.2; to (1) revise the plans review fee for a Class II mobile food unit limited to a mobile kiosk/coffee cart; (2) revise the inspection fee for catering service vehicles and Class II mobile food units limited to a mobile kiosk/coffee cart; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Estimated Revenue Foregone: $14,204.00",2022-03-16,22-0531; APPROVED AS AN INDIVIDUAL ITEM; ORDINANCE 32169,Department of Code Compliance (CCS),Department of Code Compliance,1,Socrata Roll Call,,,,,0,9,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/7665a2a3-2001-4540-9b8c-7b5d0c64f09c.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52113,10.,32,"Authorize a six-year contract with Brio Services, LLC dba Brio Consulting, LLC for program management services to assist with the implementation of Phase III of the Enterprise Work Order and Asset Management System - Not to exceed $12,989,751.00 - Financing: Water Construction Fund ($5,931,184.50), Wastewater Construction Fund ($5,931,184.50), and Data Services Fund ($1,127,382.00) (subject to annual appropriations)",22-720,CONSENT AGENDA,Approved,10564,"Authorize a six-year contract with Brio Services, LLC dba Brio Consulting, LLC for program management services to assist with the implementation of Phase III of the Enterprise Work Order and Asset Management System - Not to exceed $12,989,751.00 - Financing: Water Construction Fund ($5,931,184.50), Wastewater Construction Fund ($5,931,184.50), and Data Services Fund ($1,127,382.00) (subject to annual appropriations)",2022-03-16,22-0532; APPROVED,Department of Information and Technology Services (DSV),Department of Information and Technology Services,1,Socrata Roll Call,,,,,0,10,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/0fbca837-21da-46a1-8865-b7f1c8e55302.docx,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52112,11.,33,"Authorize a thirty-six-month cooperative purchasing agreement for consulting services to provide assistance to plan, design, and procure a citywide fiber optic network with Columbia Telecommunications Corporation dba CTC Technology & Energy through Government Services Administration Cooperative Agreement - Estimated amount of $380,000.00 - Financing: Coronavirus State and Local Fiscal Recovery Fund",22-682,CONSENT AGENDA,Approved,10526,"Authorize a thirty-six-month cooperative purchasing agreement for consulting services to provide assistance to plan, design, and procure a citywide fiber optic network with Columbia Telecommunications Corporation dba CTC Technology & Energy through Government Services Administration Cooperative Agreement - Estimated amount of $380,000.00 - Financing: Coronavirus State and Local Fiscal Recovery Fund",2022-03-09,22-0533; APPROVED,Department of Information and Technology Services (DSV),Department of Information and Technology Services,1,Socrata Roll Call,,,,,0,11,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/da92911d-2b99-4d67-8d3f-9e4d3a98e599.docx,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52115,12.,35,"An ordinance amending Chapter 51A, “Dallas Development Code: Ordinance No. 19455, as amended,” of the Dallas City Code by amending Section 51A-3.102, “Board of Adjustment”; (1) providing additional criteria relating to municipal board of adjustment zoning variances based on unnecessary hardship; (2) providing a penalty not to exceed $2,000.00; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Financing:  No cost consideration to the City",22-743,CONSENT AGENDA,Approved,10587,"An ordinance amending Chapter 51A, “Dallas Development Code: Ordinance No. 19455, as amended,” of the Dallas City Code by amending Section 51A-3.102, “Board of Adjustment”; (1) providing additional criteria relating to municipal board of adjustment zoning variances based on unnecessary hardship; (2) providing a penalty not to exceed $2,000.00; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Financing:  No cost consideration to the City",2022-03-17,22-0534; APPROVED; ORDINANCE 32170,Department of Planning and Urban Design (PNV),Department of Planning and Urban Design,1,Socrata Roll Call,,,,,0,12,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/5231340d-3cce-4d47-a149-b41f1db9fdc7.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52117,13.,38,A resolution authorizing the conveyance of approximately 13.145 acres of City-owned land to Alvin and Pamela Starr located in Kaufman County in exchange for approximately 17.585 acres of land owned by Alvin and Pamela Starr located in Kaufman County for the realignment of the Lake Tawakoni 144-inch Raw Water Transmission Pipeline Project - Financing: No cost consideration to the City,22-371,CONSENT AGENDA,Approved,8763,A resolution authorizing the conveyance of approximately 13.145 acres of City-owned land to Alvin and Pamela Starr located in Kaufman County in exchange for approximately 17.585 acres of land owned by Alvin and Pamela Starr located in Kaufman County for the realignment of the Lake Tawakoni 144-inch Raw Water Transmission Pipeline Project - Financing: No cost consideration to the City,2021-06-29,22-0535; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,13,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/ffcb5fbe-2256-46ce-9e49-e671f9ce5e9a.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/6480679d-b826-4d51-9c1c-1d9ba45a2fd5.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/80c97313-faf5-417c-a316-161371e77ceb.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/cec4f46a-81db-43c6-8f98-db3d9854faff.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52125,14.,39,"An ordinance abandoning a portion of a drainage easement to IAC Beckleymeade, LLC, the abutting owner, containing approximately 24,274 square feet of land, located near the intersection of Beckleymeade Avenue and Penn Farm Road - Revenue: General Fund $5,400.00, plus the $20.00 ordinance publication fee",22-680,CONSENT AGENDA,Approved,10524,"An ordinance abandoning a portion of a drainage easement to IAC Beckleymeade, LLC, the abutting owner, containing approximately 24,274 square feet of land, located near the intersection of Beckleymeade Avenue and Penn Farm Road - Revenue: General Fund $5,400.00, plus the $20.00 ordinance publication fee",2022-03-08,22-0536; APPROVED; ORDINANCE 32171,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,14,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/a1fb23c8-2376-4dfa-82cd-cdb3ff60bf7f.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/34146f4f-001e-4eb0-aaab-6a825d53c7af.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/5331c44f-a0dd-4195-8b8f-116b15d7003d.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52119,15.,40,"An ordinance abandoning a portion of a street easement to Trinity Groves Residential III, L.P., the abutting owner, containing approximately 12 square feet of land, located near the intersection of Singleton Boulevard and Topeka Avenue; and authorizing the quitclaim - Revenue: General Fund $5,400.00, plus the $20.00 ordinance publication fee",22-370,CONSENT AGENDA,Approved,10214,"An ordinance abandoning a portion of a street easement to Trinity Groves Residential III, L.P., the abutting owner, containing approximately 12 square feet of land, located near the intersection of Singleton Boulevard and Topeka Avenue; and authorizing the quitclaim - Revenue: General Fund $5,400.00, plus the $20.00 ordinance publication fee",2022-01-14,22-0537; APPROVED; ORDINANCE 32172,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,15,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/608b6912-8618-4bae-bb32-974c0b04bb11.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/b356ffe3-99be-4f24-9424-ea90d05fb046.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/3cce3224-3bf6-4205-be61-2afcc1d13a85.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/547f626f-8b0d-4637-b281-f2b5ac036d10.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52118,16.,41,"An ordinance abandoning a portion of Zang Boulevard to Alamo Manhattan Bad, LLC, the abutting owner, containing approximately 2,463 square feet of land, located near the intersection of 7th Street and Zang Boulevard; and authorizing the quitclaim and providing for the dedication of a total of approximately 680 square feet of needed land for a tree access easement and street easement - Revenue: General Capital Reserve Fund ($88,865.00) and General Fund ($20,000.00), plus the $20.00 ordinance publication fee",22-33,CONSENT AGENDA,Approved,9656,"An ordinance abandoning a portion of Zang Boulevard to Alamo Manhattan Bad, LLC, the abutting owner, containing approximately 2,463 square feet of land, located near the intersection of 7th Street and Zang Boulevard; and authorizing the quitclaim and providing for the dedication of a total of approximately 680 square feet of needed land for a tree access easement and street easement - Revenue: General Capital Reserve Fund ($88,865.00) and General Fund ($20,000.00), plus the $20.00 ordinance publication fee",2021-10-25,22-0538; APPROVED; ORDINANCE 32173,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,16,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/d7aa30f5-772e-47e4-9cae-ff2c756ed7af.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/5d336141-3f3d-49d0-af13-3e604eb59e24.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/029a3b94-81cc-486e-9551-e0f0d3ae0f2b.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/d81c3040-b9e7-4000-95ea-20619f11bd92.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/4ccace90-03cd-4f18-9bb3-9622d6eaac3e.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52728,17.,42,"An ordinance providing for the closure and vacation to vehicular traffic of a portion of South Pearl Expressway containing approximately 12,160 square feet of land, located at the intersection of South Pearl Expressway and Taylor Street - Financing: No cost consideration to the City",22-637,CONSENT AGENDA,Deleted,10481,"An ordinance providing for the closure and vacation to vehicular traffic of a portion of South Pearl Expressway containing approximately 12,160 square feet of land, located at the intersection of South Pearl Expressway and Taylor Street - Financing: No cost consideration to the City",2022-03-01,22-0539; DELETED,Department of Public Works (PBW),Department of Public Works,,Socrata Roll Call,,,,,0,17,AGENDA,DELETED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/4a7436cf-ee74-45ac-bb26-5bd779574c28.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/f7757fa7-e2d5-4ac0-ad32-eaa5a00087de.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/343ef61a-87c2-4720-b3fb-7438cff29bb2.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/2c722041-f612-48f7-a344-7c479631868b.pdf,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52120,18.,43,"Authorize the (1) deposit of the amount awarded by the Special Commissioners in the condemnation proceedings styled City of Dallas v. SAS Realty, LLC, an Oklahoma limited liability company, et al., Cause No. CC-21-04394-D, pending in Dallas County Court at Law No. 4, to acquire a wastewater easement of a total of approximately 24,402 square feet of land located near the intersection of Preston and Arapaho Roads for the McKamy and Osage Branch Wastewater Interceptor Project; and (2) settlement of the condemnation proceeding for an amount not to exceed the award - Not to exceed $57,628.00, increased from $271,372.00 ($265,372.00, plus closing costs and title expenses not to exceed $6,000.00) to $329,000.00 ($325,000.00 being the award, plus closing costs and title expenses not to exceed $4,000.00) - Financing: Wastewater Capital Improvement G Fund",22-475,CONSENT AGENDA,Approved,10319,"Authorize the (1) deposit of the amount awarded by the Special Commissioners in the condemnation proceedings styled City of Dallas v. SAS Realty, LLC, an Oklahoma limited liability company, et al., Cause No. CC-21-04394-D, pending in Dallas County Court at Law No. 4, to acquire a wastewater easement of a total of approximately 24,402 square feet of land located near the intersection of Preston and Arapaho Roads for the McKamy and Osage Branch Wastewater Interceptor Project; and (2) settlement of the condemnation proceeding for an amount not to exceed the award - Not to exceed $57,628.00, increased from $271,372.00 ($265,372.00, plus closing costs and title expenses not to exceed $6,000.00) to $329,000.00 ($325,000.00 being the award, plus closing costs and title expenses not to exceed $4,000.00) - Financing: Wastewater Capital Improvement G Fund",2022-02-01,22-0540; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,18,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/e86dc58a-21af-48d6-84a9-3c4af1e3ead3.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/c486f624-cd45-4768-93cf-ccd020af67fa.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/ce2d0af1-be20-43e4-abd3-b59229077bac.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
