event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Carolyn Arnold,Carolyn King Arnold,Chad West,Eric Johnson,Gay Donnel Willis,Gay Donnell Willis,Jaime Resendez,Jaynie Schultz,Jaynie Shultz,Jesse  Moreno,Jesse Moreno,Kathy Stewart,Laura Cadena,Lorie Blair,Maxie Johnson,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennel Atkins,Tennell  Atkins,William Roth,Zarin D. Gracey,Zarin Gracey
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92668,,8,DELETIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91988,,9,ITEMS FOR INDIVIDUAL CONSIDERATION,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92256,,10,ADDITIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91990,,11,ZONING,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91992,,12,"



NOTE: A revised order of business may be posted prior to the date of the council meeting if necessary.",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91993,,13,Page Break,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91994,,14,Invocation and Pledge of Allegiance ,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91995,,15,Agenda Item/Open Microphone Speakers,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91996,,16,VOTING AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91997,1.,17,"Approval of Minutes of the March 26, 2025 City Council Meeting",25-761A,VOTING AGENDA,Approved,20481,"Approval of Minutes of the March 26, 2025 City Council Meeting",2025-02-18,25-0552; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,YES,YES,,YES,YES,YES,,YES,AWVT,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91998,,18,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91999,,19,City Attorney's Office,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92000,2.,20,"Authorize settlement of the bodily injury claims brought by Jesus Lule in the lawsuit styled, Jesus Lule v. Melvin Williams, Civil Action No. 3:23-CV-00950-L - Not to exceed $65,000.00 - Financing:  Liability Reserve Fund",25-993A,CONSENT AGENDA,Approved,20713,"Authorize settlement of the bodily injury claims brought by Jesus Lule in the lawsuit styled, Jesus Lule v. Melvin Williams, Civil Action No. 3:23-CV-00950-L - Not to exceed $65,000.00 - Financing:  Liability Reserve Fund",2025-03-06,25-0554; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/59dfd210-c28c-4c49-aa98-8dc779e3735b.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92001,3.,21,"Authorize settlement of the bodily injury claims brought by Maria Rivera in the lawsuit styled, Maria Rivera v. Mason Hawkins and City of Dallas, Cause No. DC-24-03101 - Not to exceed $29,000.00 - Financing: Liability Reserve Fund",25-997A,CONSENT AGENDA,Approved,20717,"Authorize settlement of the bodily injury claims brought by Maria Rivera in the lawsuit styled, Maria Rivera v. Mason Hawkins and City of Dallas, Cause No. DC-24-03101 - Not to exceed $29,000.00 - Financing: Liability Reserve Fund",2025-03-10,25-0555; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/bfe1acbb-9e30-484d-9ccd-bca5caf89d49.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92002,4.,22,"Authorize settlement of the lawsuit styled, Stacy Carson v. City of Dallas, Cause No. DC-23-19500 - Not to exceed $50,000.00 - Financing:  Liability Reserve Fund",25-1044A,CONSENT AGENDA,Approved,20764,"Authorize settlement of the lawsuit styled, Stacy Carson v. City of Dallas, Cause No. DC-23-19500 - Not to exceed $50,000.00 - Financing:  Liability Reserve Fund",2025-03-13,25-0556; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/471e59eb-1ecc-4c37-b8f0-249c9667f411.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92081,,23,Page Break,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92003,,24,City Controller's Office,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92004,5.,25,"An ordinance approving and authorizing the issuance by the City of Dallas of its Waterworks and Sewer System Commercial Paper Notes, Series G, in an aggregate principal amount at any one time outstanding not to exceed $300,000,000, to provide interim financing to pay Project Costs for Eligible Projects and to refund obligations issued in connection with Eligible Projects; authorizing the issuance and delivery of promissory notes in connection with the issuance, sale and delivery of Commercial Paper Notes, and prescribing the terms, features and characteristics of such instruments; approving and authorizing certain authorized officers and employees to act on behalf of the City in the selling and delivery of such Commercial Paper Notes, within the limitations and procedures specified herein; making certain covenants and agreements in connection therewith; resolving other matters incident and related to the issuance, sale, security and delivery of such Commercial Paper Notes, including (1) the approval and authorizing the execution of a Revolving Credit Agreement with Bank of America, N.A.; (2) an Amended and Restated Dealer Agreement with BofA Securities, Inc.; and (3) an Amended and Restated Issuing and Paying Agent Agreement with U.S. Bank Trust Company, National Association in the manner herein provided; and approving the use of an Offering Memorandum in connection with the sale from time to time of such Commercial Paper Notes; and providing an effective date - Total not to exceed $3,593,000 - Financing: Dallas Water Utilities Fund ($627,500 upfront closing costs plus annual fee of $988,500 for a total 3-year cost of $3,593,000) (subject to annual appropriations)",25-1046A,CONSENT AGENDA,Corrected; Approved,20766,"An ordinance approving and authorizing the issuance by the City of Dallas of its Waterworks and Sewer System Commercial Paper Notes, Series G, in an aggregate principal amount at any one time outstanding not to exceed $300,000,000, to provide interim financing to pay Project Costs for Eligible Projects and to refund obligations issued in connection with Eligible Projects; authorizing the issuance and delivery of promissory notes in connection with the issuance, sale and delivery of Commercial Paper Notes, and prescribing the terms, features and characteristics of such instruments; approving and authorizing certain authorized officers and employees to act on behalf of the City in the selling and delivery of such Commercial Paper Notes, within the limitations and procedures specified herein; making certain covenants and agreements in connection therewith; resolving other matters incident and related to the issuance, sale, security and delivery of such Commercial Paper Notes, including (1) the approval and authorizing the execution of a Revolving Credit Agreement with Bank of America, N.A.; (2) an Amended and Restated Dealer Agreement with BofA Securities, Inc.; and (3) an Amended and Restated Issuing and Paying Agent Agreement with U.S. Bank Trust Company, National Association in the manner herein provided; and approving the use of an Offering Memorandum in connection with the sale from time to time of such Commercial Paper Notes; and providing an effective date - Total not to exceed $3,593,000 - Financing: Dallas Water Utilities Fund ($627,500 upfront closing costs plus annual fee of $988,500 for a total 3-year cost of $3,593,000) (subject to annual appropriations)",2025-03-14,25-0557; CORRECTED; APPROVED; ORDINANCE 33065,City Controller's Office (CCO),City Controller's Office,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED CORRECTED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/2a5ddaf4-a5a5-4772-bce8-d7e9d16c8d8e.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/edb14402-300c-4b76-937b-5f69c3752335.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/8d10274e-dd8a-47b2-8d9b-00ca8a972546.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/ff51000e-40ef-4e03-a7d2-eeff549c8058.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/e139bd6c-b2d9-473c-b3b1-9a1c2a18f83a.pdf,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92005,,26,Dallas Water Utilities Department,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92009,6.,27,"Authorize a professional services contract with Brown and Caldwell to provide engineering services associated with a chemical optimization and corrosion control study of the City of Dallas water treatment and distribution system - Not to exceed $3,042,487.00 - Financing: Water Construction Fund",25-765A,CONSENT AGENDA,Approved,20485,"Authorize a professional services contract with Brown and Caldwell to provide engineering services associated with a chemical optimization and corrosion control study of the City of Dallas water treatment and distribution system - Not to exceed $3,042,487.00 - Financing: Water Construction Fund",2025-02-18,25-0558; APPROVED,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/5db42fb2-7ca0-4916-bcbd-6ac16d7e2d29.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/db2c76f4-90fb-49a0-bc30-9c80ed643707.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92251,,28,Page Break,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92007,7.,29,"Authorize an increase in the construction services contract with John Burns Construction Company of Texas, LLC for additional work associated with the installation of water and wastewater main improvements at five locations (list attached to the Agenda Information Sheet) - Not to exceed $1,332,208.00 from $11,486,301.00 to $12,818,509.00 - Financing: Wastewater Capital Improvement G Fund",25-563A,CONSENT AGENDA,Approved,20289,"Authorize an increase in the construction services contract with John Burns Construction Company of Texas, LLC for additional work associated with the installation of water and wastewater main improvements at five locations (list attached to the Agenda Information Sheet) - Not to exceed $1,332,208.00 from $11,486,301.00 to $12,818,509.00 - Financing: Wastewater Capital Improvement G Fund",2025-01-29,25-0559; APPROVED,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/212f2ae8-14da-4e2c-8aee-cf4f3df71d34.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/e793c73c-d740-4733-8b67-2c82cc3ffdb0.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/fb9b9226-e957-4465-bf7c-322458a61bb1.pdf,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92080,8.,30,"Authorize Supplemental Agreement No. 1 to the professional services contract with Garver, LLC to provide additional engineering services for improvements to the Lake June Pump Station and Reservoir - Not to exceed $4,806,075.38, from $3,399,822.00 to $8,205,897.38 - Financing: Water 2022C Water TWDB L1001533 Fund ($4,500,000.00) and Water Capital Improvement F Fund ($306,075.38)",25-642A,CONSENT AGENDA,Approved,20368,"Authorize Supplemental Agreement No. 1 to the professional services contract with Garver, LLC to provide additional engineering services for improvements to the Lake June Pump Station and Reservoir - Not to exceed $4,806,075.38, from $3,399,822.00 to $8,205,897.38 - Financing: Water 2022C Water TWDB L1001533 Fund ($4,500,000.00) and Water Capital Improvement F Fund ($306,075.38)",2025-02-05,25-0560; APPROVED,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/9ad667bc-5ec7-4533-8880-2b50c3e74825.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/c0b7a93d-0fff-407c-b394-719ee9c63d56.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",92006,9.,31,"Authorize Supplemental Agreement No. 1 to the professional services contract with Pacheco Koch Consulting Engineers, LLC dba Pacheco Koch, a Westwood Company, to provide additional engineering services necessary for the development of construction plans, specifications and contract documents, and construction observation for the Cedar Creek Bridge replacement at Moore Street and to prepare additional survey documents for erosion control easements at Holliday Road and West Kiest Boulevard - Not to exceed $454,105.00, from $221,579.00 to $675,684.00 - Financing: Storm Drainage Management Capital Construction Fund",25-119A,CONSENT AGENDA,Approved,19887,"Authorize Supplemental Agreement No. 1 to the professional services contract with Pacheco Koch Consulting Engineers, LLC dba Pacheco Koch, a Westwood Company, to provide additional engineering services necessary for the development of construction plans, specifications and contract documents, and construction observation for the Cedar Creek Bridge replacement at Moore Street and to prepare additional survey documents for erosion control easements at Holliday Road and West Kiest Boulevard - Not to exceed $454,105.00, from $221,579.00 to $675,684.00 - Financing: Storm Drainage Management Capital Construction Fund",2024-12-23,25-561; APPROVED,Dallas Water Utilities Department (DWU),Dallas Water Utilities Department,1,Socrata Roll Call,,,,,0,9,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,https://cityofdallas.legistar1.com/cityofdallas/attachments/ed20a6b8-33fd-49e8-ba87-a2dc23e09228.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/39ada78c-3607-4730-8db5-ebdc3fee8110.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/81e41a68-523a-41cb-bfc3-4d787a39489f.docx,YES,YES,,YES,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
