event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jesse  Moreno,Kathy Stewart,Laura Cadena,Lorie Blair,Maxie Johnson,Paul Ridley,Paula Blackmon,William Roth,Zarin D. Gracey
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96475,3.,23,"Authorize (1) the third amendment to the contract with Dallas College for instructional services for police academy training; (2) the receipt and deposit of additional funds in an amount not to exceed $400,000.00 from Dallas College in the DCCCD El Centro Police Training Reimbursement Fund; and (3) an increase in appropriations in an amount not to exceed $400,000.00 in the DCCCD El Centro Police Training Reimbursement Fund for the period September 1, 2024 through August 31, 2025 - Not to exceed $400,000.00, from $1,045,000.00 to $1,445,000.00 - Financing: DCCCD El Centro Police Training Reimbursement Fund",25-2373A,CONSENT AGENDA,Approved as an Individual Item,21985,"Authorize (1) the third amendment to the contract with Dallas College for instructional services for police academy training; (2) the receipt and deposit of additional funds in an amount not to exceed $400,000.00 from Dallas College in the DCCCD El Centro Police Training Reimbursement Fund; and (3) an increase in appropriations in an amount not to exceed $400,000.00 in the DCCCD El Centro Police Training Reimbursement Fund for the period September 1, 2024 through August 31, 2025 - Not to exceed $400,000.00, from $1,045,000.00 to $1,445,000.00 - Financing: DCCCD El Centro Police Training Reimbursement Fund",2025-07-17,25-1205; APPROVED AS AN INDIVIDUAL ITEM,Dallas Police Department (DPD),Dallas Police Department,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/7e96f51e-cde3-486f-a8f1-9e376267e70a.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/44e5e0b3-ad79-4aab-b1df-e159497f2dc2.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96473,4.,24,"Authorize a three-year cooperative purchasing agreement for a web-based investigative software solution, TLOxp, for the Dallas Police Department with Carahsoft Technology Corp through the OMNIA cooperative agreement (R240303) - Not to exceed $399,000.24 - Financing: General Fund (subject to annual appropriations)",25-1597A,CONSENT AGENDA,Approved as an Individual Item,21254,"Authorize a three-year cooperative purchasing agreement for a web-based investigative software solution, TLOxp, for the Dallas Police Department with Carahsoft Technology Corp through the OMNIA cooperative agreement (R240303) - Not to exceed $399,000.24 - Financing: General Fund (subject to annual appropriations)",2025-05-01,25-1206; APPROVED AS AN INDIVIDUAL ITEM,Dallas Police Department (DPD),Dallas Police Department,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/363045dc-135b-4d0c-bd93-9959365316ae.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,AWVT,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96484,5.,28,"Authorize (1) a ten-year beverage services contract with PepsiCo Sales Inc. to provide full-service vending, case sales, and fountain pouring rights at Park and Recreation Facilities; (2) establish appropriations in the amount of $235,009.50 $940,038.86; (3) the receipt and deposit revenue generated from this contract in the Imp. Maint. Rep. Programs/Sponsorships; (4) the disbursement of commission to The Superlative Group pursuant to Consultant Contract No. PKR-2021-000017177; and (5) authorize the transfer of 10 percent remaining after commission payment to the Park Endowment Fund - Estimated amount of $869,535.14 - Financing: Imp. Maint. Rep. Programs/Sponsorships Fund ($869,535.9514) and Park Endowment Fund ($70,502.9186); Estimated Revenue: Imp. Maint. Rep. Programs/Sponsorships $940,038.86",25-2324A,CONSENT AGENDA,Corrected; Deferred,21936,"Authorize (1) a ten-year beverage services contract with PepsiCo Sales Inc. to provide full-service vending, case sales, and fountain pouring rights at Park and Recreation Facilities; (2) establish appropriations in the amount of $235,009.50 $940,038.86; (3) the receipt and deposit revenue generated from this contract in the Imp. Maint. Rep. Programs/Sponsorships; (4) the disbursement of commission to The Superlative Group pursuant to Consultant Contract No. PKR-2021-000017177; and (5) authorize the transfer of 10 percent remaining after commission payment to the Park Endowment Fund - Estimated amount of $869,535.14 - Financing: Imp. Maint. Rep. Programs/Sponsorships Fund ($869,535.9514) and Park Endowment Fund ($70,502.9186); Estimated Revenue: Imp. Maint. Rep. Programs/Sponsorships $940,038.86",2025-07-14,"25-1207; CORRECTED; DEFERRED TO AUGUST 27, 2025 BY COUNCILMEMBER MENDELSOHN",Park & Recreation Department (PKR),Park & Recreation Department,,Socrata Roll Call,,,,,0,5,AGENDA,DEFERRED TO 8/27/25; CORRECTED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/6d18ddf0-9e47-45a7-8ac3-ec3e97c7a190.docx,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,AWVT,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96481,6.,29,"Authorize the (1) acceptance of an agreement with the U.S. Army Corps of Engineers (USACE) providing the amount of $2,000,000.00 for design assistance or potential implementation under Section 5140 of the Water Resources Development Act of 2007 (Public Law 110-114) for White Rock Lake Environmental Infrastructure Design Assistance for White Rock Lake totaling 75 percent of the agreement; (2) City of Dallas and the USACE to enter into a Project Partnership Agreement for the USACE to review environmental documents, water quality protection, dredging, permitting and design efforts, and for the City of Dallas to seek reimbursements for work performed; (3) establishment of appropriations in an amount not to exceed $2,000,000.00 in the USACE White Rock Lake EI Design Assistance Grant Fund; (4) receipt and deposit of funds in an amount not to exceed $2,000,000.00 in the USACE White Rock Lake EI Design Assistance Grant Fund; (5) City of Dallas to provide a matching share of 25 percent, in an amount not to exceed $666,666.67 from the Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund); and (6) execution of the agreement with USACE and all terms, conditions and documents required by the agreement - Not to exceed $2,666,666.67 - Financing: USACE White Rock Lake EI Design Assistance Grant Fund ($2,000,000.00) and Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund) ($666,666.67)",25-2162A,CONSENT AGENDA,Approved,21774,"Authorize the (1) acceptance of an agreement with the U.S. Army Corps of Engineers (USACE) providing the amount of $2,000,000.00 for design assistance or potential implementation under Section 5140 of the Water Resources Development Act of 2007 (Public Law 110-114) for White Rock Lake Environmental Infrastructure Design Assistance for White Rock Lake totaling 75 percent of the agreement; (2) City of Dallas and the USACE to enter into a Project Partnership Agreement for the USACE to review environmental documents, water quality protection, dredging, permitting and design efforts, and for the City of Dallas to seek reimbursements for work performed; (3) establishment of appropriations in an amount not to exceed $2,000,000.00 in the USACE White Rock Lake EI Design Assistance Grant Fund; (4) receipt and deposit of funds in an amount not to exceed $2,000,000.00 in the USACE White Rock Lake EI Design Assistance Grant Fund; (5) City of Dallas to provide a matching share of 25 percent, in an amount not to exceed $666,666.67 from the Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund); and (6) execution of the agreement with USACE and all terms, conditions and documents required by the agreement - Not to exceed $2,666,666.67 - Financing: USACE White Rock Lake EI Design Assistance Grant Fund ($2,000,000.00) and Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund) ($666,666.67)",2025-06-17,25-1208; APPROVED,Park & Recreation Department (PKR),Park & Recreation Department,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/c3d18512-8007-491c-bd36-357a09462ea1.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/7c7889a5-a380-4f6e-b4f7-7278330ca71a.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96480,7.,30,"Authorize a professional services contract with Kirksey Architects, Inc. dba Kirksey Architecture for architectural and engineering services for the schematic design, design development, construction documents, bidding and negotiation, and construction administration for the Exall Recreation Center Replacement Project located at 1355 Adair Street - Not to exceed $1,624,571.00 - Financing: Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund)",25-2069A,CONSENT AGENDA,Approved as an Individual Item,21687,"Authorize a professional services contract with Kirksey Architects, Inc. dba Kirksey Architecture for architectural and engineering services for the schematic design, design development, construction documents, bidding and negotiation, and construction administration for the Exall Recreation Center Replacement Project located at 1355 Adair Street - Not to exceed $1,624,571.00 - Financing: Park and Recreation Facilities (B) Fund (2024 General Obligation Bond Fund)",2025-06-04,25-1209; APPROVED AS AN INDIVIDUAL ITEM,Park & Recreation Department (PKR),Park & Recreation Department,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/02a9138c-e37a-46be-9e86-6c0c4b995008.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/81c5ce4c-88a8-4359-87b6-f7fe595b50cb.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,AWVT,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96482,8.,31,"Authorize a twelve-month service contract to design, fabricate and install a building for restrooms, concessions and storage at Reverchon Park located at 3505 Maple Avenue with The Public Restroom Company through the Texas Association of School Boards, Inc. (BuyBoard) cooperative agreement - Not to exceed $749,820.00 - Financing: Capital Gifts, Donations & Development Fund",25-2298A,CONSENT AGENDA,Approved,21910,"Authorize a twelve-month service contract to design, fabricate and install a building for restrooms, concessions and storage at Reverchon Park located at 3505 Maple Avenue with The Public Restroom Company through the Texas Association of School Boards, Inc. (BuyBoard) cooperative agreement - Not to exceed $749,820.00 - Financing: Capital Gifts, Donations & Development Fund",2025-07-09,25-1210; APPROVED,Park & Recreation Department (PKR),Park & Recreation Department,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/079f197b-c9e5-43a6-8aeb-9ea85b74dafb.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/17b50aa2-9680-4b17-8d00-b69a945de80d.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96489,9.,34,"Authorize a public hearing to be held on August 27, 2025 to receive comments concerning: (1) the proposed levy of assessment for the Dallas Downtown Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",25-2212A,CONSENT AGENDA,Approved as an Individual Item,21824,"Authorize a public hearing to be held on August 27, 2025 to receive comments concerning: (1) the proposed levy of assessment for the Dallas Downtown Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2025-06-24,25-1211; APPROVED AS AN INDIVIDUAL ITEM,Office of Economic Development (ECO),Office of Economic Development,1,Socrata Roll Call,,,,,0,9,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/8799e69a-030f-455d-acd4-1da5fe30d9dd.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/cf172647-c6dc-4692-b872-6de93449e514.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/250858f5-bfd8-4eb2-922c-aa5e8979a094.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/c0b9d082-8c2f-409c-9612-07d38a73cb0d.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,AWVT,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96490,10.,35,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Deep Ellum Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",25-2213A,CONSENT AGENDA,Approved,21825,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Deep Ellum Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2025-06-24,25-1212; APPROVED,Office of Economic Development (ECO),Office of Economic Development,1,Socrata Roll Call,,,,,0,10,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/455c02f7-58bf-4892-a65e-48cf480430cb.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/0fee1230-beec-4221-83b4-833e368a867c.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/a3f5dfbf-0af7-4bb5-97a5-f66aaa8c5eaf.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/24beedc0-2c3a-43fb-bea3-ea2ad314f92f.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96491,11.,36,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Dallas Tourism Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on Dallas hotels with 100 or more rooms; and, at the close of the public hearing; and (2) consider approval of an ordinance (a) levying a special assessment on Dallas hotels with 100 or more rooms for services and improvements to be provided during FY 2025-26; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",25-2215A,CONSENT AGENDA,Approved,21827,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Dallas Tourism Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on Dallas hotels with 100 or more rooms; and, at the close of the public hearing; and (2) consider approval of an ordinance (a) levying a special assessment on Dallas hotels with 100 or more rooms for services and improvements to be provided during FY 2025-26; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2025-06-24,25-1213; APPROVED,Office of Economic Development (ECO),Office of Economic Development,1,Socrata Roll Call,,,,,0,11,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/7f2cffd3-c604-4f38-ae82-dcb9ed08f6a0.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/d5a80554-0b4d-4579-b0a4-ddae47163fc1.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/d4f75e9b-c5dc-403c-9776-556418ffad82.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/4e9d2495-d5b3-406e-abb3-e319b6f2bee9.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/5625175c-e844-4a9e-adfa-f05e3cfcad01.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96492,12.,37,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Klyde Warren Park/Dallas Arts District Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",25-2218A,CONSENT AGENDA,Approved,21830,"Authorize a public hearing to be held on August 27, 2025, to receive comments concerning: (1) the proposed levy of assessment for the Klyde Warren Park/Dallas Arts District Public Improvement District (the “District”) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing; (2) consider approval of an ordinance; (a) levying a special assessment on property in the District for services and improvements to be provided during 2026; (b) establishing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2025 assessment; (d) requiring City staff to, not later than seven days after the City Council’s approval of the ordinance and Service Plan, file a copy of the approved Service Plan with the Dallas County Clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2025-06-24,25-1214; APPROVED,Office of Economic Development (ECO),Office of Economic Development,1,Socrata Roll Call,,,,,0,12,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/dd61566c-5b45-463c-8d6a-bae71fb3ee95.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/804470e0-c391-49de-bb59-9e6476a7b798.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/6e56f36f-f961-4c10-a186-4ff55c4851b7.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/50bb4178-9229-460b-8257-065a617dd18e.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
